,address,camera_id,perdayviolations
164,1200 N ASHLAND AVENUE,1791.0,6.02517985612
165,1600 W DIVISION STREET,1793.0,2.67827868852
166,1200 N PULASKI ROAD,1801.0,2.5443592552
167,1200 N PULASKI ROAD,1802.0,3.20387359837
168,800 N SACRAMENTO AVEN,1812.0,6.88723776224
169,3000 W CHICAGO AVENUE,1814.0,4.25705645161
170,150 N SACRAMENTO BOUL,1821.0,7.21914893617
171,150 N SACRAMENTO BOUL,1822.0,4.88118811881
172,2000 N KEDZIE AVENUE,1832.0,5.35357142857
173,3200 W ARMITAGE AVENUE,1834.0,2.75733063701
174,4000 W ARMITAGE AVENUE,1843.0,3.26082771896
175,4000 W ARMITAGE AVENUE,1844.0,2.039408867
176,1600 N WESTERN AVE,1851.0,5.02665441176
177,2400 W NORTH AVE,1853.0,2.66495375128
178,2000 N WESTERN AVENUE,1861.0,2.05161290323
179,2000 N WESTERN AVENUE,1862.0,1.73504273504
180,1 S HALSTED STREET,1871.0,5.13294232649
181,1 N HALSTED STREET,1872.0,4.29162916292
182,300 N HAMLIN AVENUE,1881.0,4.99003623188
183,300 N HAMLIN AVENUE,1882.0,2.98418972332
184,100 N CICERO AVENUE,1891.0,9.67695099819
185,100 N CICERO AVENUE,1892.0,4.70500927644
186,0 N HAMLIN BOULEVARD,1901.0,4.59181636727
187,3800 W MADISON STREET,1903.0,9.25226039783
188,0 N ASHLAND AVE,1911.0,5.95229186155
189,1600 W MADISON,1914.0,4.01928374656
190,400 N LASALLE,1921.0,5.02415026834
191,140 W KINZIE,1923.0,2.022172949
192,1 S WESTERN AVE,1931.0,2.77401129944
193,2400 W MADISON,1934.0,2.25524861878
194,800 N WESTERN AVE,1941.0,3.05460060667
195,2400 W CHICAGO AVE,1941.0,3.05460060667
196,800 N WESTERN AVE,1943.0,2.50566426365
197,2400 W CHICAGO AVE,1943.0,2.50566426365
198,500 N COLUMBUS DRIVE,1951.0,16.3374125874
199,500 N COLUMBUS DRIVE,1952.0,7.12059369202
200,100 W CHICAGO AVENUE,1963.0,7.98674911661
201,100 W CHICAGO AVENUE,1964.0,6.93697083725
202,800 N CENTRAL AVENUE,1972.0,3.76361767729
203,5600 W CHICAGO AVENUE,1973.0,2.71673387097
204,800 N PULASKI ROAD,1982.0,2.01223990208
205,4000 W CHICAGO AVENUE,1983.0,3.74924165824
206,1600 N PULASKI AVENUE,1992.0,1.82426778243
207,1600 N PULASKI AVENUE,8313.0,3.66666666667
208,4000 W NORTH AVENUE,1994.0,2.7882231405
209,4000 W NORTH AVENUE,8304.0,2.33333333333
210,2000 N CICERO AVENUE,2001.0,3.27173913043
211,4800 W ARMITAGE AVENUE,2003.0,1.51867219917
212,1600 N KOSTNER,2011.0,1.57079646018
213,4400 W GRAND AVE,2012.0,4.93755575379
214,4400 W NORTH,2013.0,6.16548042705
215,600 S CICERO AVENUE,2022.0,4.99376669635
216,4800 W HARRISON STREET,2023.0,2.4082278481
217,4800 W NORTH AVENUE,2033.0,4.24230769231
218,4800 W NORTH AVENUE,2034.0,2.61880165289
219,5200 W MADISON STREET,2043.0,6.20446096654
220,5200 W MADISON STREET,2044.0,11.456
221,400 S WESTERN AVENUE,2052.0,33.9352517986
222,2400 W VAN BUREN STREE,2054.0,9.5862369338
223,2400 W VAN BUREN STREET,2054.0,9.5862369338
224,3100 S CALIFORNIA,2061.0,3.59192825112
225,2800 W 31ST,2064.0,1.73793103448
226,6400 W ARCHER AVE,2073.0,7.194092827
227,6400 W ARCHER AVE,2074.0,6.34693877551
228,5200 S CICERO AVE,2081.0,24.0315884477
229,5400 S ARCHER AVE,2084.0,6.76923076923
230,3500 S WESTERN,2091.0,3.58799593082
231,3500 S WESTERN,2092.0,3.32504780115
232,4700 S KEDZIE AVE,2101.0,4.12426035503
233,3200 W 47TH ST,2104.0,2.4160887656
234,3900 S WESTERN BLVD,2112.0,4.59172852598
235,2400 W PERSHING ROAD,2114.0,4.46424974824
236,3100 S DR MARTIN L KING,2121.0,11.2965641953
237,400 E 31ST STREET,2123.0,4.02770083102
238,3100 S KEDZIE AVENUE,2132.0,4.26259689922
239,3200 W 31ST STREET,2134.0,2.76746506986
240,4700 S WESTERN AVENUE,2141.0,5.52565256526
241,4700 S WESTERN AVENUE,2142.0,3.08442211055
242,5000 S ARCHER AVE,2153.0,3.7763546798
243,5000 S ARCHER AVE,2154.0,2.46043956044
244,5500 S KEDZIE AVENUE,2162.0,2.07934508816
245,3200 W 55TH STREET,2163.0,2.40840517241
246,5100 S WESTERN BLVD,2172.0,2.578125
247,2400 W 51ST ST,2174.0,1.4953271028
248,5700 S CORNELL DRIVE,2181.0,5.99572649573
249,5700 S CORNELL DRIVE,2182.0,9.45833333333
250,4700 S ASHLAND AVENUE,2191.0,1.86666666667
251,4700 S ASHLAND AVENUE,2192.0,2.36
252,4700 S CICERO AVE,2202.0,2.09199522103
253,4800 W 47TH ST,2204.0,8.78040244969
254,5500 S WESTERN AVE,2212.0,6.51418439716
255,2400 W 55TH STREET,2213.0,5.30450781969
256,2348 S KOSTNER AVENUE,2222.0,4.35477941176
257,4400 W OGDEN AVENUE,2223.0,8.19234194123
258,800 W ROOSEVELT ROAD,2233.0,6.52506596306
259,800 W ROOSEVELT ROAD,2234.0,14.904845815
260,5500 S PULASKI,2242.0,3.02717391304
261,4000 W 55TH ST,2244.0,2.31956521739
262,4200 S CICERO AVENUE,2251.0,63.1263982103
263,4200 S CICERO AVENUE,2252.0,7.12700369914
264,5500 S WENTWORTH AVEN,2261.0,18.5725593668
265,200 W GARFIELD BLVD,2264.0,11.4356955381
266,5500 S ASHLAND AVENUE,2272.0,2.655
267,1600 W GARFIELD BLVD,2274.0,4.77232142857
268,2416 S DAMEN AVENUE,2281.0,4.74345549738
269,2416 S BLUE ISLAND AV,2283.0,4.4953271028
270,1200 S CANAL STREET,2291.0,6.42389210019
271,500 W ROOSEVELT ROAD,2294.0,8.65252707581
272,3100 S ASHLAND AVENUE,2301.0,4.36820083682
273,3100 S ARCHER AVENUE,2302.0,4.17699115044
274,1200 S PULASKI ROAD,2311.0,3.58302238806
275,4000 W ROOSEVELT ROAD,2314.0,5.2919921875
276,1200 S KOSTNER,2321.0,4.17412935323
277,4400 W ROOSEVELT,2323.0,5.42430086789
278,2200 S PULASKI,2332.0,4.01313320826
279,4000 W CERMAK,2334.0,5.10753676471
280,6300 S PULASKI RD,2342.0,7.09380530973
281,4000 W 63RD ST,2343.0,2.57128099174
282,7100 S KEDZIE AVENUE,2352.0,3.87941976428
283,3200 W 71ST STREET,2354.0,2.7080078125
284,6300 S KEDZIE AVE,2361.0,2.00997506234
285,3200 W 63RD ST,2364.0,2.4596069869
286,6300 S WESTERN AVE,2371.0,2.19756097561
287,2400 W 63RD ST,2373.0,1.78070175439
288,2600 S KEDZIE AVENUE,2381.0,2.82929194956
289,2600 S KEDZIE AVENUE,2382.0,2.23352601156
290,7100 S ASHLAND,2391.0,3.45508982036
291,1600 W 71ST,2394.0,3.92220113852
292,11900 S HALSTED,2402.0,5.15107913669
293,800 W 119TH STREET,2404.0,2.60298826041
294,8700 S VINCENNES,2412.0,9.58228980322
295,848 W 87TH STREET,2413.0,11.1911357341
296,11100 S HALSTED ST,2422.0,7.40540540541
297,800 W 111TH ST,2424.0,2.957
298,9900 S HALSTED ST,2431.0,15.2687782805
299,800 W 99TH ST,2433.0,10.4071428571
300,7900 S KEDZIE AVE,2442.0,1.14487632509
301,3200 W 79TH ST,2443.0,4.32796208531
302,8700 S ASHLAND AVE,2452.0,4.56638811513
303,1600 W 87TH ST,2454.0,5.31564501372
304,7900 S SOUTH CHICAGO AVE,2461.0,1.39208633094
305,7900 S STONEY ISLAND,2462.0,3.44064386318
306,1600 E 79TH ST,2464.0,2.89451022605
307,9500 S ASHLAND AVENUE,2472.0,5.97587131367
308,1600 W 95TH STREET,2473.0,5.17786561265
309,7900 S WESTERN AVE,2481.0,4.20222634508
310,2400 W 79TH ST,2484.0,1.46917808219
311,7900 S PULASKI ROAD,2492.0,2.85258964143
312,4000 W 79TH STREET,2494.0,3.46428571429
313,8700 S LAFAYETTE AVEN,2502.0,15.5867620751
314,30 W 87TH STREET,2503.0,19.5821428571
315,1600 E 95TH STREET,2513.0,5.81218274112
316,1600 E 95TH STREET,2514.0,6.54835589942
317,9500 S JEFFERY AVE,2522.0,3.1568627451
318,2000 E 95TH ST,2523.0,1.96219512195
319,11100 S VINCENNES AVE,2531.0,5.47234042553
320,11100 S VINCENNES AVE,2532.0,4.84913793103
321,7900 S HALSTED STREET,2541.0,4.322698268
322,800 W 79TH STREET,2543.0,2.74258474576
323,11500 S HALSTED STREE,2552.0,11.7165775401
324,800 W 115TH STREET,2553.0,3.30555555556
325,8300 S STONY ISLAND A,2562.0,11.1795918367
326,1600 E 83RD STREET,2563.0,3.43913043478
327,7100 S COTTAGE GROVE,2571.0,2.00583090379
328,7100 S COTTAGE GROVE,2572.0,3.29464285714
329,9500 S HALSTED STREET,2581.0,3.77698574338
330,9500 S HALSTED STREET,2582.0,1.77997179126
331,10300 S HALSTED STREE,2592.0,5.18321299639
332,800 W 103RD STREET,2593.0,2.54752066116
333,9500 S COTTAGE GROVE,2602.0,3.95391705069
334,800 E 95TH STREET,2603.0,5.94144144144
335,7100 S WESTERN AVENUE,2612.0,5.52409638554
336,2400 W 71ST STREET,2614.0,1.67918622848
337,7500 S STATE STREET,2621.0,9.72401103956
338,1 E 75TH STREET,2624.0,10.2112676056
339,7600 S STONY ISLAND A,2631.0,16.7376014427
340,7600 S STONY ISLAND A,2632.0,14.9010791367
341,8300 S HALSTED STREET,2641.0,3.55721393035
342,8300 S HALSTED STREET,2642.0,4.22815533981
343,7900 S STATE STREET,2651.0,5.95288888889
344,1 E 79TH STREET,2654.0,27.5838509317
345,7900 S JEFFERY BOULEV,2662.0,2.26041666667
346,2000 E 79TH STREET,2663.0,2.13612565445
347,6700 S WESTERN AVENUE,2672.0,5.86696832579
348,2400 W MARQUETTE ROAD,2674.0,3.34710743802
349,6300 S ASHLAND AVE,2681.0,2.88571428571
350,1600 W 63RD STREET,2683.0,1.94444444444
351,6300 S HALSTED STREET,2691.0,3.12621359223
352,6300 S HALSTED STREET,2692.0,1.74380165289
353,6300 S DAMEN AVENUE,2701.0,3.2046556741
354,6300 S DAMEN AVENUE,2702.0,3.27915869981
355,6300 S STATE ST,2712.0,5.60053619303
356,1 E 63RD ST,2714.0,9.073283859
357,6700 S STONY ISLAND A,2721.0,9.86775362319
358,6700 S CORNELL DRIVE,2731.0,11.6651943463
359,6200 N KIMBALL AVENUE,2741.0,1.83448275862
360,6200 N LINCOLN AVENUE,2751.0,15.2943548387
361,4700 W IRVING PARK ROA,2763.0,5.46133333333
362,4700 W IRVING PARK ROA,2764.0,2.98228346457
